model,perturbation,level,mean_accuracy,std_accuracy
dmon,edge_drop,0.0,0.8421052631578945,2.220446049250313e-16
dmon,edge_drop,0.02,0.8039473684210525,0.015512929108620507
dmon,edge_drop,0.04,0.8157894736842103,0.022017369119317756
dmon,edge_drop,0.06,0.8039473684210525,0.03166107740925254
dmon,edge_drop,0.08,0.7921052631578946,0.033182947928732866
dmon,edge_drop,0.1,0.8,0.02683694480838305
dmon,edge_drop,0.12,0.7763157894736843,0.04887940952896502
dmon,edge_drop,0.14,0.7802631578947368,0.030320312162639237
dmon,edge_drop,0.16,0.7776315789473685,0.03672443614987595
dmon,edge_drop,0.18,0.7828947368421052,0.029860015047132146
dmon,edge_drop,0.2,0.7723684210526316,0.04425045189684273
dmon,edge_drop,0.22,0.7776315789473685,0.038564081288823285
dmon,edge_drop,0.24,0.7578947368421054,0.04042708288351899
dmon,edge_drop,0.26,0.7684210526315789,0.03588995183417331
dmon,edge_drop,0.28,0.7605263157894737,0.04773251880846592
dmon,edge_drop,0.3,0.7486842105263158,0.04031987748959096
ecpool,edge_drop,0.0,0.8039473684210525,0.013091939961929195
ecpool,edge_drop,0.02,0.756578947368421,0.042330810374066885
ecpool,edge_drop,0.04,0.7592105263157894,0.04502615429544387
ecpool,edge_drop,0.06,0.7263157894736841,0.053544710393094226
ecpool,edge_drop,0.08,0.7342105263157895,0.0644065171080022
ecpool,edge_drop,0.1,0.730263157894737,0.04548522636169369
ecpool,edge_drop,0.12,0.7065789473684211,0.039275819885787634
ecpool,edge_drop,0.14,0.675,0.04653878732586157
ecpool,edge_drop,0.16,0.7039473684210528,0.05993706302068617
ecpool,edge_drop,0.18,0.6855263157894738,0.05487015647892906
ecpool,edge_drop,0.2,0.6855263157894738,0.04517969661418262
ecpool,edge_drop,0.22,0.6763157894736842,0.05588621205682974
ecpool,edge_drop,0.24,0.6578947368421051,0.04923233403649923
ecpool,edge_drop,0.26,0.7052631578947369,0.04965253227398212
ecpool,edge_drop,0.28,0.6776315789473685,0.06385308188711016
ecpool,edge_drop,0.3,0.6618421052631579,0.052812190106288105
mincut,edge_drop,0.0,0.7631578947368423,1.1102230246251565e-16
mincut,edge_drop,0.02,0.7828947368421053,0.029860015047132142
mincut,edge_drop,0.04,0.7855263157894736,0.03032031216263923
mincut,edge_drop,0.06,0.7828947368421052,0.026150798571515508
mincut,edge_drop,0.08,0.7802631578947368,0.025343895110866082
mincut,edge_drop,0.1,0.7802631578947368,0.029155947113368864
mincut,edge_drop,0.12,0.7618421052631579,0.035769150576495226
mincut,edge_drop,0.14,0.7763157894736843,0.025649458802128853
mincut,edge_drop,0.16,0.7763157894736841,0.026965659910419992
mincut,edge_drop,0.18,0.7723684210526316,0.034587998494986616
mincut,edge_drop,0.2,0.7644736842105264,0.03765549479277417
mincut,edge_drop,0.22,0.7789473684210526,0.01933807691670929
mincut,edge_drop,0.24,0.7486842105263157,0.03856408128882328
mincut,edge_drop,0.26,0.7605263157894736,0.026183879923858434
mincut,edge_drop,0.28,0.7592105263157896,0.042656750203808755
mincut,edge_drop,0.3,0.7381578947368421,0.02939251039959037
topk,edge_drop,0.0,0.7894736842105262,1.1102230246251565e-16
topk,edge_drop,0.02,0.7921052631578946,0.021859536481363344
topk,edge_drop,0.04,0.7986842105263157,0.026675177543043774
topk,edge_drop,0.06,0.7802631578947368,0.03927581988578761
topk,edge_drop,0.08,0.7855263157894737,0.026675177543043792
topk,edge_drop,0.1,0.7776315789473685,0.02818984906003756
topk,edge_drop,0.12,0.7697368421052632,0.04150476393575659
topk,edge_drop,0.14,0.7578947368421053,0.0460338307487787
topk,edge_drop,0.16,0.7578947368421053,0.04210526315789473
topk,edge_drop,0.18,0.7578947368421052,0.041274703003574
topk,edge_drop,0.2,0.761842105263158,0.041169704860952665
topk,edge_drop,0.22,0.7486842105263157,0.042002341314506225
topk,edge_drop,0.24,0.7302631578947368,0.051886168824027246
